ts,event,actor_id,target,details,ip
2026-08-12T01:35:21.416680Z,message_blocked,6,2,"{""channel"": ""welcome"", ""reason"": ""free\\s+(discord\\s+)?nitro; nitro\\s+(gift|code|generator)""}",127.0.0.1
2026-08-12T01:36:43.271081Z,server_created,6,6,"{""name"": ""Smoke Test Server""}",127.0.0.1
2026-08-12T01:36:43.654821Z,message_reported,6,2,"{""message_id"": 14, ""reason"": ""smoke report""}",127.0.0.1
2026-08-12T01:36:43.671614Z,message_deleted,6,2,"{""message_id"": 14}",127.0.0.1
2026-08-12T01:36:43.752018Z,message_blocked,6,2,"{""channel"": ""welcome"", ""reason"": ""free\\s+(discord\\s+)?nitro; nitro\\s+(gift|code|generator)""}",127.0.0.1
2026-08-12T01:36:43.939346Z,channel_created,1,2,"{""channel"": ""smoke-ch""}",127.0.0.1
2026-08-12T01:36:44.015419Z,channel_deleted,1,2,"{""channel"": ""smoke-ch""}",127.0.0.1
2026-08-12T01:36:44.105853Z,server_settings,1,2,"{""changes"": {""description"": ""smoke""}}",127.0.0.1
2026-08-12T01:36:44.210333Z,role_created,1,2,"{""role"": ""SmokeMod"", ""permissions"": [""moderate""]}",127.0.0.1
2026-08-12T01:36:44.251600Z,role_updated,1,2,"{""role"": ""SmokeMod2""}",127.0.0.1
2026-08-12T01:36:44.357447Z,member_muted,1,6,"{""server"": 2, ""until_minutes"": 30, ""reason"": ""smoke""}",127.0.0.1
2026-08-12T01:36:44.473161Z,member_banned,1,6,"{""server"": 2, ""reason"": ""smoke""}",127.0.0.1
2026-08-12T01:36:44.545343Z,member_joined,6,2,"{""server"": ""Insyrium Community""}",127.0.0.1
2026-08-12T01:36:44.604953Z,member_kicked,1,6,"{""server"": 2}",127.0.0.1
2026-08-12T01:36:44.652344Z,member_joined,6,2,"{""server"": ""Insyrium Community""}",127.0.0.1
2026-08-12T01:36:44.788971Z,report_resolved,1,,"{""report_id"": 4, ""server"": 2}",127.0.0.1
2026-08-12T01:36:45.426651Z,server_verified,1,2,"{""name"": ""Insyrium Community"", ""verified"": true}",127.0.0.1
2026-08-12T01:37:04.283734Z,server_created,6,7,"{""name"": ""Smoke Test Server""}",127.0.0.1
2026-08-12T01:37:04.535612Z,message_reported,6,2,"{""message_id"": 16, ""reason"": ""smoke report""}",127.0.0.1
2026-08-12T01:37:04.551070Z,message_deleted,6,2,"{""message_id"": 16}",127.0.0.1
2026-08-12T01:37:04.582511Z,message_blocked,6,2,"{""channel"": ""welcome"", ""reason"": ""free\\s+(discord\\s+)?nitro; nitro\\s+(gift|code|generator)""}",127.0.0.1
2026-08-12T01:37:04.693792Z,channel_created,1,2,"{""channel"": ""smoke-ch""}",127.0.0.1
2026-08-12T01:37:04.765985Z,channel_deleted,1,2,"{""channel"": ""smoke-ch""}",127.0.0.1
2026-08-12T01:37:04.797283Z,server_settings,1,2,"{""changes"": {""description"": ""smoke""}}",127.0.0.1
2026-08-12T01:37:04.813205Z,role_created,1,2,"{""role"": ""SmokeMod"", ""permissions"": [""moderate""]}",127.0.0.1
2026-08-12T01:37:04.860762Z,role_updated,1,2,"{""role"": ""SmokeMod2""}",127.0.0.1
2026-08-12T01:37:04.918649Z,member_muted,1,6,"{""server"": 2, ""until_minutes"": 30, ""reason"": ""smoke""}",127.0.0.1
2026-08-12T01:37:04.966297Z,member_banned,1,6,"{""server"": 2, ""reason"": ""smoke""}",127.0.0.1
2026-08-12T01:37:05.001829Z,member_joined,6,2,"{""server"": ""Insyrium Community""}",127.0.0.1
2026-08-12T01:37:05.033318Z,member_kicked,1,6,"{""server"": 2}",127.0.0.1
2026-08-12T01:37:05.065192Z,member_joined,6,2,"{""server"": ""Insyrium Community""}",127.0.0.1
2026-08-12T01:37:05.118547Z,report_resolved,1,,"{""report_id"": 5, ""server"": 2}",127.0.0.1
2026-08-12T01:37:05.466043Z,server_verified,1,2,"{""name"": ""Insyrium Community"", ""verified"": true}",127.0.0.1
2026-08-12T01:37:39.951643Z,server_created,6,8,"{""name"": ""Smoke Test Server""}",127.0.0.1
2026-08-12T01:37:40.299875Z,channel_created,1,2,"{""channel"": ""smoke-ch""}",127.0.0.1
2026-08-12T01:37:40.363801Z,channel_deleted,1,2,"{""channel"": ""smoke-ch""}",127.0.0.1
2026-08-12T01:37:40.379829Z,server_settings,1,2,"{""changes"": {""description"": ""smoke""}}",127.0.0.1
2026-08-12T01:37:40.418286Z,role_created,1,2,"{""role"": ""SmokeMod"", ""permissions"": [""moderate""]}",127.0.0.1
2026-08-12T01:37:40.449896Z,role_updated,1,2,"{""role"": ""SmokeMod2""}",127.0.0.1
2026-08-12T01:37:40.500528Z,member_muted,1,6,"{""server"": 2, ""until_minutes"": 30, ""reason"": ""smoke""}",127.0.0.1
2026-08-12T01:37:40.566823Z,member_banned,1,6,"{""server"": 2, ""reason"": ""smoke""}",127.0.0.1
2026-08-12T01:37:40.598683Z,member_joined,6,2,"{""server"": ""Insyrium Community""}",127.0.0.1
2026-08-12T01:37:40.646990Z,member_kicked,1,6,"{""server"": 2}",127.0.0.1
2026-08-12T01:37:40.679161Z,member_joined,6,2,"{""server"": ""Insyrium Community""}",127.0.0.1
2026-08-12T01:37:41.099627Z,server_verified,1,2,"{""name"": ""Insyrium Community"", ""verified"": true}",127.0.0.1
2026-08-12T01:41:34.798901Z,server_created,6,9,"{""name"": ""Smoke Test Server""}",127.0.0.1
2026-08-12T01:41:35.165466Z,message_reported,6,2,"{""message_id"": 20, ""reason"": ""smoke report""}",127.0.0.1
2026-08-12T01:41:35.197308Z,message_deleted,6,2,"{""message_id"": 20}",127.0.0.1
2026-08-12T01:41:35.247160Z,message_blocked,6,2,"{""channel"": ""welcome"", ""reason"": ""free\\s+(discord\\s+)?nitro; nitro\\s+(gift|code|generator)""}",127.0.0.1
2026-08-12T01:41:35.427020Z,channel_created,1,2,"{""channel"": ""smoke-ch""}",127.0.0.1
2026-08-12T01:41:35.474390Z,channel_deleted,1,2,"{""channel"": ""smoke-ch""}",127.0.0.1
2026-08-12T01:41:35.506145Z,server_settings,1,2,"{""changes"": {""description"": ""smoke""}}",127.0.0.1
2026-08-12T01:41:35.547804Z,role_created,1,2,"{""role"": ""SmokeMod"", ""permissions"": [""moderate""]}",127.0.0.1
2026-08-12T01:41:35.662303Z,role_updated,1,2,"{""role"": ""SmokeMod2""}",127.0.0.1
2026-08-12T01:41:35.757233Z,member_muted,1,6,"{""server"": 2, ""until_minutes"": 30, ""reason"": ""smoke""}",127.0.0.1
2026-08-12T01:41:35.883896Z,member_banned,1,6,"{""server"": 2, ""reason"": ""smoke""}",127.0.0.1
